Företagsnamn	Typ	Finansiär	Belopp	Mottaget datum	Anteckning
Konstraktor i Gävle AB	Excellensmedel	Vinnova Excellensmedel	45000	2024-03-25	Rouse IP juridik patent
Invite To Do AB	Excellensmedel	Vinnova Excellensmedel	44775	2024-02-28	Digital strategi Wilson
ProTime Sport AB	Excellensmedel	Vinnova Excellensmedel	2425	2024-02-20	Ytterligare förlängning Lindahls, avslutat hos leverantör efter denna faktura
ProTime Sport AB	Excellensmedel	Vinnova Excellensmedel	3875	2024-02-19	Beviljat max 35 000kr för rådgivning kring immaterialrätt Lindahls, utökat till 44115kr KLAR 2023-11-13 ytterligare utökning 3875kr klart 20240220
PepperVault AB	Excellensmedel	Vinnova Excellensmedel	100000	2024-02-15	IP strategi Rouse
T & S Engineering Intelligence AB	Ägarkapital	Riskkapital	1000000	2024-02-06
T & S Engineering Intelligence AB	Ägarkapital	ALMI	2000000	2024-02-06
Wellgo Health AB	Excellensmedel	Vinnova Excellensmedel	1275	2024-01-31	Affärsjuridik Barzey law slutfaktura
HR Hackarna AB	Excellensmedel	Vinnova Excellensmedel	1500	2024-01-31	PRV utb inför IP strategi
PepperVault AB	Excellensmedel	Vinnova Excellensmedel	8500	2024-01-31	Barzey law utökat för användarvillkor svenska - beviljat utökning till 35 000kr 25000+8500 - delfakturerad
Climate Champ	Excellensmedel	Vinnova Excellensmedel	4760	2024-01-31	Barzey law  affärsjuridik
Intrest (Linkapp AB)	Excellensmedel	Vinnova Excellensmedel	30000	2024-01-30	Digital strategi wilson creative slutfakturerad
T & S Engineering Intelligence AB	Excellensmedel	Vinnova Excellensmedel	75000	2024-01-29	Lindahls affärsjuridik utökat för split
ProTime Sport AB	Excellensmedel	Vinnova Excellensmedel	80000	2024-01-28	Instasport IP juridik Rouse
Actsport AB	Excellensmedel	Vinnova Excellensmedel	100000	2024-01-28	IP strategi fas a-c Rouse
ProTime Sport AB	Excellensmedel	Vinnova Excellensmedel	1875	2024-01-18	Lindahls affärsjuridik fortsättning
HR Hackarna AB	Excellensmedel	Vinnova Excellensmedel	14500	2024-01-10	Lindahls affärsjuridik slutfaktura
Affärskompetens Sverige AB	Excellensmedel	Vinnova Excellensmedel	21000	2024-01-04	We know it utveckling - delfaktura
HR Hackarna AB	De minimis	Sprint X TVV De minimis	18509	2023-12-31	Sprint X 2.0 intern tid samt aktiviteter (Team - Business insight) 202307-202312
Best 2 Clean Sweden AB	Excellensmedel	Vinnova Excellensmedel	38149	2023-12-31	Excellensstöd intern tid - affärscoachning etc.
Head on nails AB	De minimis	Sprint X TVV De minimis	21079	2023-12-31	Sprint X 2.0 de minimis tid för intern personal juli-dec 2023 - 21 079kr
HR Hackarna AB	Excellensmedel	Vinnova Excellensmedel	22889	2023-12-31	Excellensstöd intern tid 2023
Wellgo Health AB	De minimis	Sprint X TVV De minimis	16547	2023-12-30	Aktiviteter samt tid intern personal Sprint X 2.0 juli-dec 2023
